Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+vix_lag+vix_mom_lag,88.83820343017578,0.00024006107962162263,0.015493904595731273,0.007159192115068436,0.0004617019440047443,0.004079848527908325,0.2527112974637097,12.7s,18.88%,-52.66%
3F+vix_lag+vix_mom,86.68656921386719,0.00023424687342457997,0.015305125723906353,0.006762055214494467,0.0004704854218289256,0.0037345439195632935,0.2708104021253849,12.6s,20.84%,2.42%
3F+vix_lag+gamma,91.5386734008789,0.0002473583651544429,0.015727630627479873,0.006985263433307409,-6.381353887263685e-05,0.003803044557571411,0.2299954992741272,12.7s,16.41%,-5.60%
3F+vix_lag+theta,88.03583526611328,0.00023789289791283498,0.01542377703135114,0.006908538285642862,0.00034493309794925153,0.0037078857421875,0.2594606534966687,12.6s,19.61%,3.83%
3F+vix_lag+vega,92.29973602294922,0.0002494149298716421,0.01579287592149201,0.0069539500400424,7.962762174429372e-05,0.003780066967010498,0.2235935969681806,12.9s,15.71%,-4.84%
3F+vix_lag+rho,93.77276611328125,0.00025339539300739394,0.015918397940979927,0.007291888818144798,0.00031968491384759545,0.004148691892623901,0.21120277069639182,13.0s,14.37%,-1.60%
3F+iv_lag+d_iv_lag,45.21504211425781,0.00012218135223341254,0.011053567398510426,0.005777422804385424,-0.0006139392498880625,0.003126770257949829,0.619660361735654,12.8s,58.71%,51.78%
3F+iv_lag+vix_mom_lag,65.14122772216797,0.00017602644865677102,0.013267495945232884,0.00700103584676981,0.00020105030853301287,0.0041345953941345215,0.45204538513230486,12.7s,40.51%,-44.07%
3F+iv_lag+vix_mom,58.20082473754883,0.00015727189747084656,0.012540809282930929,0.0061879837885499,0.00033127644564956427,0.003353521227836609,0.5104266281245886,12.8s,46.85%,10.65%
3F+iv_lag+gamma,51.35628890991211,0.00013877640119955173,0.011780339604593397,0.006484300829470158,-0.0006497220019809902,0.0038128122687339783,0.5680014563021747,12.9s,53.10%,11.76%
3F+iv_lag+theta,51.45619201660156,0.00013904636217043374,0.011791792152613348,0.006147074047476053,0.00021121148893143982,0.003338739275932312,0.5671610919083135,12.9s,53.01%,-0.19%
3F+iv_lag+vega,61.6758918762207,0.00016666232114958372,0.01290977618510808,0.006516864988952875,-0.00035199010744690895,0.003635600209236145,0.4811950778116011,13.0s,43.68%,-19.86%
3F+iv_lag+rho,62.17444610595703,0.00016800952834220213,0.012961848955384495,0.006723179016262293,3.650127837317996e-05,0.0039329975843429565,0.4770013421314727,12.9s,43.22%,-0.81%
3F+d_iv_lag+vix_mom_lag,57.705753326416016,0.00015593410164813212,0.012487357672787792,0.0059865438379347324,-9.442729788133875e-05,0.0032205432653427124,0.5145910670506755,13.0s,47.30%,7.19%
3F+d_iv_lag+vix_mom,57.444419860839844,0.00015522791904351896,0.012459049684607528,0.005888479296118021,0.0003148760588373989,0.003153562545776367,0.5167893504341663,12.9s,47.54%,0.45%
3F+d_iv_lag+gamma,61.36971664428711,0.00016583496586893413,0.012877692567728666,0.00615314394235611,6.083241896703839e-05,0.003320559859275818,0.4837705609144335,12.9s,43.96%,-6.83%
3F+d_iv_lag+theta,64.67745208740234,0.00017477322115683013,0.013220182342041661,0.006554864812642336,-0.00033818805241025984,0.0036377012729644775,0.45594657042185593,13.0s,40.94%,-5.39%
3F+d_iv_lag+vega,64.16775512695312,0.00017339590376542804,0.013167987840419206,0.006494917906820774,-0.0003542065969668329,0.0036296993494033813,0.460234036461848,12.9s,41.40%,0.79%
3F+d_iv_lag+rho,60.4506950378418,0.00016335155996336265,0.01278090606973397,0.006033401004970074,1.4097087841946632e-05,0.0031828582286834717,0.4915011817213155,12.8s,44.80%,5.79%
3F+vix_mom_lag+vix_mom,86.76671600341797,0.0002344634483223703,0.015312199330023441,0.006837670691311359,-0.0007652767817489803,0.0038455724716186523,0.2701362238094881,13.0s,20.77%,-43.53%
3F+vix_mom_lag+gamma,94.55915832519531,0.00025552040405116754,0.015985005600598567,0.007343551144003868,-0.0007508131675422192,0.004223734140396118,0.20458780108832464,12.8s,13.65%,-8.98%
3F+vix_mom_lag+theta,82.64990997314453,0.0002233388998504169,0.01494452742144819,0.00657503679394722,0.0005427236901596189,0.0034637451171875,0.30476594974011884,12.8s,24.53%,12.59%
3F+vix_mom_lag+vega,94.61112213134766,0.00025566082210246217,0.01598939717758184,0.007254109252244234,0.00021488101629074663,0.004118248820304871,0.20415069223448623,12.7s,13.60%,-14.47%
3F+vix_mom_lag+rho,97.90589904785156,0.00026456406049707904,0.01626542530944331,0.007656359113752842,-7.680927228648216e-05,0.004541650414466858,0.17643570620355076,12.7s,10.59%,-3.48%
3F+vix_mom+gamma,89.08425903320312,0.0002407259779584752,0.015515346530402574,0.006742349825799465,-0.0002066956221824512,0.003636658191680908,0.2506415283189227,12.9s,18.65%,9.01%
3F+vix_mom+theta,83.87618255615234,0.00022665256794388106,0.015054984820446716,0.006534869316965342,0.00012753512419294566,0.003401428461074829,0.2944507968877541,12.8s,23.41%,5.85%
3F+vix_mom+vega,89.7286376953125,0.00024246723601343683,0.015571359478653006,0.006582383997738361,-1.763026011758484e-05,0.0034064650535583496,0.2452211474944922,12.9s,18.06%,-6.98%
3F+vix_mom+rho,92.16973876953125,0.0002490636476552261,0.01578175046232914,0.007097252178937197,0.00046960212057456374,0.00405554473400116,0.2246871071371065,13.0s,15.83%,-2.72%
3F+gamma+theta,89.52205657958984,0.0002419090067409505,0.015553424277018566,0.006914755329489708,9.812194184632972e-05,0.0037245452404022217,0.24695886536784173,12.9s,18.25%,2.87%
3F+gamma+vega,102.314697265625,0.0002764776384300731,0.01662761673933078,0.0076721906661987305,0.0008592337835580111,0.004478760063648224,0.13934980202389546,12.9s,6.57%,-14.29%
